route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-294-s23-1,1,294,Am Hart - Helmholtz-Zentrum - Garching-Hochbrück,701,,005262,FFFFFF
19-294-s24-1,1,294,Am Hart - Helmholtz-Zentrum - Garching-Hochbrück,701,,005262,FFFFFF
19-295-s23-1,1,295,Am Hart - Helmholtz-Zentrum - Oberschleißheim,701,,005262,FFFFFF
19-295-s24-1,1,295,Am Hart - Helmholtz-Zentrum - Oberschleißheim,701,,005262,FFFFFF
19-299-s23-1,1,299,"(Lohhof, Schulzentrum) - Unterschleißheim West - Riedmoos",701,,005262,FFFFFF
19-299-s24-1,1,299,"(Lohhof, Schulzentrum) - Unterschleißheim West - Riedmoos",701,,005262,FFFFFF
19-301-s23-3,1,301,Stadtbus Wolfratshausen,701,,005262,FFFFFF
19-301-s24-1,1,301,Wolfratshausen -  Farchet B11 - Waldram - Stobäusstraße - Wolfratshausen,3,,005262,FFFFFF
19-302-s23-3,1,302,Stadtbus Wolfratshausen,701,,005262,FFFFFF
19-302-s24-1,1,302,Wolfratshausen - Stobäusstraße - Waldram - Farchet B11 - Wolfratshausen,3,,005262,FFFFFF
19-310-s23-2,1,310,Stadtbus Geretsried Steiner Ring Süd - Schulzentrum - Fasanenweg - Lilienstraße,701,,005262,FFFFFF
19-310-s24-1,1,310,Stadtbus Geretsried Steiner Ring Süd - Schulzentrum - Fasanenweg - Lilienstraße,3,,005262,FFFFFF
19-370-s23-2,1,370,"Geretsried, Stein - Feuerwehrschule - Fasanenweg - Wolfratshausen",701,,005262,FFFFFF
19-370-s24-1,1,370,"Geretsried, Stein - Feuerwehrschule - Fasanenweg - Wolfratshausen",701,,005262,FFFFFF
19-370-s24-2,1,370,"Geretsried, Stein - Feuerwehrschule - Fasanenweg - Wolfratshausen",701,,005262,FFFFFF
19-370-V-s23-3,1,370V,"Geretsried, Stein - Schulzentrum - Wolfratshausen",701,,005262,FFFFFF
19-370-V-s24-1,1,370V,"Geretsried, Stein - Schulzentrum - Wolfratshausen",701,,005262,FFFFFF
19-372-s23-1,1,372,Geretsried - Beuerberg - Eurasburg - Wolfratshausen,701,,005262,FFFFFF
19-372-s24-1,1,372,Geretsried - Beuerberg - Eurasburg - Wolfratshausen,701,,005262,FFFFFF
19-373-s23-1,1,373,Seeshaupt - Münsing - Wolfratshausen,701,,005262,FFFFFF
19-373-s24-1,1,373,Seeshaupt - Münsing - Wolfratshausen,701,,005262,FFFFFF
19-373-V-s23-1,1,373V,Ammerland/Ambach - Münsing - Wolfratshausen,701,,005262,FFFFFF
19-373-V-s24-1,1,373V,Ammerland/Ambach - Münsing - Wolfratshausen,701,,005262,FFFFFF
19-374-s23-1,1,374,Penzberg - Beuerberg - Königsdorf - Wolfratshausen,701,,005262,FFFFFF
19-374-s24-1,1,374,Penzberg - Beuerberg - Königsdorf - Wolfratshausen,701,,005262,FFFFFF
19-375-s23-3,1,375,Endlhausen - Egling - Wolfratshausen,701,,005262,FFFFFF
19-375-s24-1,1,375,Endlhausen - Egling - Wolfratshausen,701,,005262,FFFFFF
19-375-s24-3,1,375,Endlhausen - Egling - Wolfratshausen,701,,005262,FFFFFF
19-375-V-s23-2,1,375V,"Neufahrn - Deining - Egling - Ascholding - Geretsried, Schulzentrum",701,,005262,FFFFFF
19-375-V-s24-1,1,375V,"Neufahrn - Deining - Egling - Ascholding - Geretsried, Schulzentrum",701,,005262,FFFFFF
19-375-V-s24-2,1,375V,"Neufahrn - Deining - Egling - Ascholding - Geretsried, Schulzentrum",701,,005262,FFFFFF
19-376-s23-2,1,376,Bad Heilbrunn - Schönrain - Geretsried - Wolfratshausen,701,,005262,FFFFFF
19-376-s24-1,1,376,Bad Heilbrunn - Schönrain - Geretsried - Wolfratshausen,701,,005262,FFFFFF
19-377-s23-3,1,377,Bad Tölz - Ascholding - Egling - Wolfratshausen,701,,005262,FFFFFF
19-377-s24-1,1,377,Bad Tölz - Ascholding - Egling - Wolfratshausen,701,,005262,FFFFFF
19-377-s24-3,1,377,Bad Tölz - Ascholding - Egling - Wolfratshausen,701,,005262,FFFFFF
19-377-V-s23-1,1,377V,Egling  - Wolfratshausen - Geretsried,701,,005262,FFFFFF
19-377-V-s24-1,1,377V,Egling  - Wolfratshausen - Geretsried,701,,005262,FFFFFF
19-378-s23-1,1,378,"Geretsried, Stein - Am Stern - Johannisplatz - Lilienstr. (- Gelting) - Wolfratshausen",701,,005262,FFFFFF
19-378-s24-1,1,378,"Geretsried, Stein - Am Stern - Johannisplatz - Lilienstr. (- Gelting) - Wolfratshausen",701,,005262,FFFFFF
19-379-s23-2,1,379,Bad Tölz - Geretsried - Wolfratshausen,701,,005262,FFFFFF
19-379-s24-1,1,379,Bad Tölz - Geretsried - Wolfratshausen,701,,005262,FFFFFF
19-379-V-s23-2,1,379V,Wolfratshausen - Königsdorf - (Bad Tölz),701,,005262,FFFFFF
19-379-V-s24-1,1,379V,Wolfratshausen - Königsdorf - (Bad Tölz),701,,005262,FFFFFF
19-381-s23-1,1,381,Deisenhofen - Endlhausen - Dietramszell - Ascholding - Geretsried,701,,005262,FFFFFF
19-381-s24-1,1,381,Deisenhofen Ost - Endlhausen - Dietramszell - Ascholding - Geretsried,701,,005262,FFFFFF
19-381-V-s23-1,1,381V,"Dietramszell - Ascholding, Kirche - Geretsried, Schulzentrum",701,,005262,FFFFFF
19-381-V-s24-1,1,381V,"Dietramszell - Ascholding, Kirche - Geretsried, Schulzentrum",701,,005262,FFFFFF
19-411-s23-1,1,411,(Antholing -) Glonn - Oberpframmern - Neuperlach Süd,701,,005262,FFFFFF
19-413-s23-3,1,413,"Antholing - Glonn, Bahnhofsplatz - Höhenkirchen-Siegertsbrunn",701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-440-s23-1,1,440,"Piusheim, Schule - Glonn - Grafing Bahnhof (- Grafing, Gymnasium/Ebersberg, Realschule)",701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-440-s24-2,1,440,"Glonn - Moosach / Bruck - Grafing Bahnhof (- Grafing, Gymnasium/Ebersberg, Realschule)",701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-442-s23-2,1,442,"Grafing Bahnhof - Ebersberg - Kirchseeon - Eglharting, Westring (- Buch)",701,,005262,FFFFFF
19-442-s24-2,1,442,"Grafing Bahnhof - Ebersberg - Kirchseeon - Eglharting, Westring (- Buch)",701,,005262,FFFFFF
19-443-s23-1,1,443,Steinhöring - Frauenneuharting - Tulling - Abersdorf - Steinhöring,701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-443-s24-1,1,443,Steinhöring - Frauenneuharting - Tulling - Abersdorf - Steinhöring,701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-444-s23-3,1,444,Grafing Bahnhof  - Frauenneuharting - Aßling Bahnhof - Emmering - Rott am Inn,701,,005262,FFFFFF
19-444-s24-1,1,444,Grafing Bahnhof - Frauenneuharting - Aßling - Rott am Inn - Griesstätt,701,,005262,FFFFFF
19-444-V-s24-2,1,444V,"Ebersberg, Realschule - Schalldorf / Moos - Emmering - Ostermünchen",701,,005262,FFFFFF
19-445-s23-1,1,445,Ebersberg - Hohenlinden - Forstern - Erding Forstern - Erding,701,,005262,FFFFFF
19-445-s24-1,1,445,Ebersberg - Hohenlinden - Forstern - Erding Forstern - Erding,701,,005262,FFFFFF
19-446-s23-4,1,446,(Poing Nord -) Markt Schwaben - Anzing - (Hohenlinden -) Ebersberg,701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-446-s24-1,1,446,(Poing Nord -) Markt Schwaben - Anzing - (Hohenlinden -) Ebersberg,701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-446-V-s23-1,1,446V,Markt Schwaben - Forstinning / Anzing - Niederried,701,,005262,FFFFFF
19-446-V-s24-1,1,446V,Markt Schwaben - Forstinning / Anzing - Niederried,701,,005262,FFFFFF
19-447-s23-1,1,447,"Aßling, Rathaus - Aßling - Oberelkofen - Grafing Bahnhof",701,,005262,FFFFFF
19-447-s24-1,1,447,"Aßling, Rathaus - Aßling - Oberelkofen - Grafing Bahnhof",701,,005262,FFFFFF
19-448-s24-1,1,448,Grafing Bf - Grafing Öxinger Platz - Oberndorf - Ebersberg Gewerbegebiet Nord - Grafing Bf,701,,005262,FFFFFF
19-451-s23-1,1,451,Vaterstetten - Sportzentrum - Baldham Nord - Karwendelplatz - Vaterstetten,701,,005262,FFFFFF
19-451-s24-1,1,451,Vaterstetten - Sportzentrum - Baldham Nord - Karwendelplatz - Vaterstetten,701,,005262,FFFFFF
19-452-s23-1,1,452,Vaterstetten - Weißenfeld - Hergolding - Parsdorf - Grub Süd,701,,005262,FFFFFF
19-452-s24-1,1,452,Vaterstetten - Baldham Dorf - Weißenfeld - Parsdorf - Grub Süd,701,,005262,FFFFFF
19-453-s23-1,1,453,Glonn - Oberpframmern - Zorneding,701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-453-s24-1,1,453,Glonn - Egmating - Oberpframmern - Putzbrunn - Neuperlach Süd,701,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,005262,FFFFFF
19-454-s24-1,1,454,Kirchseeon - Moosach - Glonn - Egmating - Höhenkirchen-Siegertsbrunn,701,,005262,FFFFFF
19-455-s24-2,1,455,Antholing - Glonn - Oberpframmern - Putzbrunn - Neuperlach Süd,701,,005262,FFFFFF
19-456-s24-1,1,456,Zorneding - Oberpframmern - Egmating - Höhenkirchen-Siegertsbrunn,701,,005262,FFFFFF
